,False Positives,False Negatives,Support
AA0,1148,1002,13419
AA1,1707,903,11911
AA2,168,444,635
AW0,1,13,34
AW1,19,51,193
AY0,46,95,361
AY1,135,84,1113
B,568,531,4896
D,457,543,1440
EH0,165,251,957
EH1,241,137,806
ER0,0,19,25
EY1,0,32,33
F,18,82,109
G,396,516,1644
H,104,151,597
IH1,28,0,0
IY0,807,824,4638
IY1,1106,680,4943
IY2,1,107,139
JH,49,22,84
K,624,519,4561
L,383,635,5403
M,520,528,5389
N,843,608,5003
NG,330,366,3621
OW0,237,238,2181
OW1,539,234,3434
OY0,1,23,67
OY1,53,13,102
P,508,552,1813
R,69,352,1225
S,194,448,6934
SH,4,0,0
T,791,772,4533
UW0,297,344,2278
UW1,184,345,1324
UW2,41,0,0
V,21,200,268
W,18,139,862
Y,105,129,1337
Z,36,30,30
